X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,fire_occurred,area
2,2,3,1,84.0,9.3,34.0,2.1,13.9,40,5.4,0.0,0,0.0
2,2,3,0,86.6,13.2,43.0,5.3,12.3,51,0.9,0.0,0,0.0
2,2,7,3,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,0,0.0
2,2,7,3,89.3,51.3,102.2,9.6,5.5,59,6.3,0.0,0,0.0
2,2,1,4,93.0,75.3,466.6,7.7,18.8,35,4.9,0.0,0,0.0
2,2,1,3,90.2,99.6,631.2,6.3,20.8,33,2.7,0.0,0,0.0
2,2,1,1,91.1,103.2,638.8,5.8,23.1,31,3.1,0.0,0,0.0
2,2,1,4,91.7,114.3,661.3,6.3,18.6,44,4.5,0.0,0,0.0
2,2,11,0,92.4,117.9,668.0,12.2,23.0,37,4.5,0.0,0,0.0
2,2,11,0,92.4,117.9,668.0,12.2,19.6,33,5.4,0.0,0,0.0
2,2,11,0,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,0,0.0
4,5,7,0,91.7,33.3,77.5,9.0,17.2,26,4.5,0.0,0,0.0
4,5,7,0,91.2,48.3,97.8,12.5,15.8,27,7.6,0.0,0,0.0
4,5,11,0,94.3,85.1,692.3,15.9,17.7,37,3.6,0.0,0,0.0
5,4,7,0,91.7,33.3,77.5,9.0,15.6,25,6.3,0.0,0,0.0
5,4,1,5,88.8,147.3,614.5,9.0,17.3,43,4.5,0.0,0,0.0
5,4,11,0,93.3,141.2,713.9,13.9,27.6,30,1.3,0.0,0,0.0
9,9,3,4,84.2,6.8,26.6,7.7,6.7,79,3.1,0.0,0,0.0
9,9,3,0,86.6,13.2,43.0,5.3,15.7,43,3.1,0.0,0,0.0
1,3,7,1,87.6,52.2,103.8,5.0,8.3,72,3.1,0.0,0,0.0
1,2,1,0,90.1,108.0,529.8,12.5,14.7,66,2.7,0.0,0,0.0
1,2,1,5,91.0,121.2,561.6,7.0,21.6,19,6.7,0.0,0,0.0
1,2,1,3,91.4,142.4,601.4,10.6,19.5,39,6.3,0.0,0,0.0
1,2,1,3,90.2,99.6,631.2,6.3,17.9,44,2.2,0.0,0,0.0
1,2,1,5,94.8,108.3,647.1,17.0,18.6,51,4.5,0.0,0,0.0
1,2,1,6,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,0,0.0
1,2,1,4,91.7,114.3,661.3,6.3,20.2,45,3.6,0.0,0,0.0
1,2,11,4,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,0,0.0
1,2,11,4,92.9,137.0,706.4,9.2,25.4,27,2.2,0.0,0,0.0
1,2,11,4,92.9,137.0,706.4,9.2,22.4,34,2.2,0.0,0,0.0
1,2,11,3,93.5,149.3,728.6,8.1,25.3,36,3.6,0.0,0,0.0
6,5,7,2,91.7,35.8,80.8,7.8,17.4,25,4.9,0.0,0,0.0
6,5,1,2,90.2,96.9,624.2,8.9,14.7,59,5.8,0.0,0,0.0
8,6,7,0,91.7,35.8,80.8,7.8,17.4,24,5.4,0.0,0,0.0
8,6,1,3,92.3,85.3,488.0,14.7,20.8,32,6.3,0.0,0,0.0
8,6,1,3,91.4,142.4,601.4,10.6,18.2,43,4.9,0.0,0,0.0
8,6,1,1,91.1,103.2,638.8,5.8,23.4,22,2.7,0.0,0,0.0
4,4,11,3,89.7,90.0,704.4,4.8,17.8,64,1.3,0.0,0,0.0
3,4,3,2,83.9,8.0,30.2,2.6,12.7,48,1.8,0.0,0,0.0
3,4,7,2,69.0,2.4,15.5,0.7,17.4,24,5.4,0.0,0,0.0
3,4,1,3,91.4,142.4,601.4,10.6,11.6,87,4.5,0.0,0,0.0
3,4,1,3,91.4,142.4,601.4,10.6,19.8,39,5.4,0.0,0,0.0
3,4,1,3,91.4,142.4,601.4,10.6,19.8,39,5.4,0.0,0,0.0
3,4,1,5,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,0,0.0
2,4,1,5,94.8,108.3,647.1,17.0,20.1,40,4.0,0.0,0,0.0
2,4,11,2,92.5,121.1,674.4,8.6,24.1,29,4.5,0.0,0,0.0
2,4,4,2,82.1,3.7,9.3,2.9,5.3,78,3.1,0.0,0,0.0
4,5,7,0,85.9,19.5,57.3,2.8,12.7,52,6.3,0.0,0,0.0
4,5,7,4,91.4,30.7,74.3,7.5,18.2,29,3.1,0.0,0,0.0
4,5,1,3,90.2,99.6,631.2,6.3,21.4,33,3.1,0.0,0,0.0
4,5,11,2,92.5,88.0,698.6,7.1,20.3,45,3.1,0.0,0,0.0
4,5,11,1,88.6,91.8,709.9,7.1,17.4,56,5.4,0.0,0,0.0
4,4,7,0,85.9,19.5,57.3,2.8,13.7,43,5.8,0.0,0,0.0
3,4,7,0,91.7,33.3,77.5,9.0,18.8,18,4.5,0.0,0,0.0
3,4,11,3,89.7,90.0,704.4,4.8,22.8,39,3.6,0.0,0,0.0
3,4,11,1,91.8,78.5,724.3,9.2,18.9,35,2.7,0.0,0,0.0
3,4,7,5,88.1,25.7,67.6,3.8,15.8,27,7.6,0.0,0,0.0
3,5,7,5,88.1,25.7,67.6,3.8,15.5,27,6.3,0.0,0,0.0
3,4,7,2,91.7,35.8,80.8,7.8,11.6,30,6.3,0.0,0,0.0
3,4,7,2,91.7,35.8,80.8,7.8,15.2,27,4.9,0.0,0,0.0
3,4,7,1,90.1,39.7,86.6,6.2,10.6,30,4.0,0.0,0,0.0
3,4,1,4,93.0,75.3,466.6,7.7,19.6,36,3.1,0.0,0,0.0
3,4,1,1,91.5,145.4,608.2,10.7,10.3,74,2.2,0.0,0,0.0
3,4,1,1,91.5,145.4,608.2,10.7,17.1,43,5.4,0.0,0,0.0
3,4,11,3,92.4,124.1,680.7,8.5,22.5,42,5.4,0.0,0,0.0
3,4,11,5,84.4,73.4,671.9,3.2,17.9,45,3.1,0.0,0,0.0
3,4,11,0,94.3,85.1,692.3,15.9,19.8,50,5.4,0.0,0,0.0
3,4,10,3,92.6,46.5,691.8,8.8,20.6,24,5.4,0.0,0,0.0
3,5,7,1,87.6,52.2,103.8,5.0,9.0,49,2.2,0.0,0,0.0
3,5,11,0,93.5,149.3,728.6,8.1,17.2,43,3.1,0.0,0,0.0
3,5,10,6,91.4,37.9,673.8,5.2,15.9,46,3.6,0.0,0,0.0
2,5,10,3,92.6,46.5,691.8,8.8,15.4,35,0.9,0.0,0,0.0
4,6,3,2,68.2,21.5,87.2,0.8,15.4,40,2.7,0.0,0,0.0
4,6,7,1,87.2,23.9,64.7,4.1,14.0,39,3.1,0.0,0,0.0
4,6,7,3,89.3,51.3,102.2,9.6,10.6,46,4.9,0.0,0,0.0
4,6,11,4,93.7,80.9,685.2,17.9,17.6,42,3.1,0.0,0,0.0
3,5,7,5,88.1,25.7,67.6,3.8,14.9,38,2.7,0.0,0,0.0
3,5,1,2,93.5,139.4,594.2,20.3,17.6,52,5.8,0.0,0,0.0
3,6,11,3,92.4,124.1,680.7,8.5,17.2,58,1.3,0.0,0,0.0
3,6,11,1,90.9,126.5,686.5,7.0,15.6,66,3.1,0.0,0,0.0
9,9,5,5,85.8,48.3,313.4,3.9,18.0,42,2.7,0.0,1,242.33228239247978
1,4,11,5,91.0,129.5,692.6,7.0,21.7,38,2.2,0.0,1,20.467805429920936
2,5,11,1,90.9,126.5,686.5,7.0,21.9,39,1.8,0.0,1,57.32445693054806
1,2,1,6,95.5,99.9,513.3,13.2,23.3,31,4.5,0.0,1,208.29968487327815
8,6,1,0,90.1,108.0,529.8,12.5,21.2,51,8.9,0.0,1,185.16607734382868
1,2,5,2,90.0,51.3,296.3,8.7,16.6,53,5.4,0.0,1,192.97108496420324
2,5,1,6,95.5,99.9,513.3,13.2,23.8,32,5.4,0.0,1,109.84580577029101
6,5,1,4,95.2,131.7,578.8,10.4,27.4,22,4.0,0.0,1,224.733348533585
5,4,7,1,90.1,39.7,86.6,6.2,13.2,40,5.4,0.0,1,132.92660409715543
8,3,11,5,84.4,73.4,671.9,3.2,24.2,28,3.6,0.0,1,16.92236218265017
2,2,1,5,94.8,108.3,647.1,17.0,17.4,43,6.7,0.0,1,223.6563212376071
8,6,11,4,93.7,80.9,685.2,17.9,23.7,25,4.5,0.0,1,216.8243603023215
6,5,6,0,92.5,56.4,433.3,7.1,23.2,39,5.4,0.0,1,225.30384332135475
9,9,5,3,90.1,68.6,355.2,7.2,24.8,29,2.2,0.0,1,42.89895672907875
3,4,5,2,90.1,51.2,424.1,6.2,24.6,43,1.8,0.0,1,65.37895705833829
5,4,11,0,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,1,138.10450563459682
1,5,11,2,93.4,145.4,721.4,8.1,29.6,27,2.7,0.0,1,8.090151425909463
7,4,1,3,94.8,108.3,647.1,17.0,16.4,47,1.3,0.0,1,195.6766661742499
2,4,11,2,93.4,145.4,721.4,8.1,28.6,27,2.2,0.0,1,113.34080009206481
2,2,1,6,92.1,111.2,654.1,9.6,18.4,45,3.6,0.0,1,59.97075421363021
2,4,1,6,92.1,111.2,654.1,9.6,20.5,35,4.0,0.0,1,48.39143455545945
7,4,11,0,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,1,99.85776250117404
7,4,7,1,90.1,39.7,86.6,6.2,16.1,29,3.1,0.0,1,220.13558089934924
6,4,1,4,95.2,131.7,578.8,10.4,20.3,41,4.0,0.0,1,128.065847932582
6,3,7,2,90.6,50.1,100.4,7.8,15.2,31,8.5,0.0,1,242.02797502205723
8,6,11,2,92.5,121.1,674.4,8.6,17.8,56,1.8,0.0,1,226.14453132533228
8,5,11,3,89.7,90.0,704.4,4.8,17.8,67,2.2,0.0,1,148.33219359007936
6,5,7,4,84.9,18.2,55.0,3.0,5.3,70,4.5,0.0,1,238.0742502192604
6,5,1,6,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,1,113.61560567062192
6,5,1,6,96.0,127.1,570.5,16.5,23.4,33,4.5,0.0,1,182.75766317400738
6,5,7,0,91.2,48.3,97.8,12.5,14.6,26,9.4,0.0,1,81.94570954029656
8,6,1,4,95.2,131.7,578.8,10.4,20.7,45,2.2,0.0,1,31.142210956539554
5,4,11,6,92.9,133.3,699.6,9.2,21.9,35,1.8,0.0,1,35.13188283347828
8,6,1,6,85.6,90.4,609.6,6.6,17.4,50,4.0,0.0,1,49.97651674510764
7,4,1,3,91.4,142.4,601.4,10.6,20.1,39,5.4,0.0,1,88.14389772899358
4,4,11,1,90.9,126.5,686.5,7.0,17.7,39,2.2,0.0,1,197.9244524374376
1,4,1,2,90.2,96.9,624.2,8.9,14.2,53,1.8,0.0,1,144.4097189008601
1,4,1,2,90.2,96.9,624.2,8.9,20.3,39,4.9,0.0,1,25.168578950698905
6,5,0,4,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0,1,207.72655046112837
2,5,1,3,90.2,99.6,631.2,6.3,19.2,44,2.7,0.0,1,84.28929964857959
2,5,11,6,90.1,82.9,735.7,6.2,18.3,45,2.2,0.0,1,184.30918842256753
8,6,1,5,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,1,62.27840680454495
1,3,11,3,92.4,124.1,680.7,8.5,23.9,32,6.7,0.0,1,144.81282012476098
8,6,10,1,84.9,32.8,664.2,3.0,19.1,32,4.0,0.0,1,124.40351715353647
5,4,3,3,86.8,15.6,48.3,3.9,12.4,53,2.2,0.0,1,230.20370075362305
7,4,10,1,91.7,48.5,696.1,11.1,16.8,45,4.5,0.0,1,238.45400382312852
8,6,1,0,93.9,135.7,586.7,15.1,20.8,34,4.9,0.0,1,47.288324591109
2,5,11,5,91.0,129.5,692.6,7.0,17.6,46,3.1,0.0,1,125.27005733671734
8,6,7,3,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,1,154.5223104588213
1,5,11,1,90.9,126.5,686.5,7.0,21.0,42,2.2,0.0,1,170.05872443984552
6,4,7,2,90.8,41.9,89.4,7.9,13.3,42,0.9,0.0,1,158.01503364719835
7,4,7,3,90.7,44.0,92.4,5.5,11.5,60,4.0,0.0,1,218.29937884252405
6,5,7,0,91.2,48.3,97.8,12.5,11.7,33,4.0,0.0,1,126.72548219674862
2,5,1,4,95.2,131.7,578.8,10.4,24.2,28,2.7,0.0,1,195.5246818033619
2,2,1,5,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,1,72.5221827020996
4,5,11,6,92.9,133.3,699.6,9.2,24.3,25,4.0,0.0,1,85.22368815384716
2,2,1,5,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,1,20.476559503794167
2,5,1,0,93.9,135.7,586.7,15.1,23.5,36,5.4,0.0,1,96.22275008198332
6,5,0,4,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0,1,132.48691269135728
4,5,11,4,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,1,203.70187614366654
3,4,11,5,91.0,129.5,692.6,7.0,13.9,59,6.3,0.0,1,31.22156319854435
2,4,11,1,63.5,70.8,665.3,0.8,22.6,38,3.6,0.0,1,69.88700658673868
1,5,11,5,91.0,129.5,692.6,7.0,21.6,33,2.2,0.0,1,211.90505168014383
6,5,7,3,90.1,37.6,83.7,7.2,12.4,54,3.6,0.0,1,144.1490613783407
7,4,3,3,83.9,8.7,32.1,2.1,8.8,68,2.2,0.0,1,98.20625714046143
8,6,10,6,91.4,37.9,673.8,5.2,20.2,37,2.7,0.0,1,177.11435175204258
5,6,7,2,90.6,50.1,100.4,7.8,15.1,64,4.0,0.0,1,142.3936777334758
4,5,11,4,92.9,137.0,706.4,9.2,22.1,34,1.8,0.0,1,246.59040376601925
2,2,1,2,93.5,139.4,594.2,20.3,22.9,31,7.2,0.0,1,191.4728446581688
7,5,11,5,91.0,129.5,692.6,7.0,20.7,37,2.2,0.0,1,192.68899715035442
6,5,11,0,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,1,23.515020684753928
8,3,11,4,93.7,80.9,685.2,17.9,23.2,26,4.9,0.0,1,115.66605398768138
4,4,10,2,90.6,43.7,686.9,6.7,18.4,25,3.1,0.0,1,164.79374090527665
7,4,1,2,93.5,139.4,594.2,20.3,5.1,96,5.8,0.0,1,20.33229045905017
7,4,11,0,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,1,199.93680301434844
7,3,7,1,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,1,83.36718957069664
4,4,7,2,91.7,35.8,80.8,7.8,17.0,27,4.9,0.0,1,121.4451703125179
4,4,7,2,91.7,35.8,80.8,7.8,17.0,27,4.9,0.0,1,98.10344029297886
4,4,11,3,92.4,124.1,680.7,8.5,16.9,60,1.3,0.0,1,34.293679762346464
1,3,11,1,88.6,91.8,709.9,7.1,12.4,73,6.3,0.0,1,69.55696487599005
4,5,11,6,92.9,133.3,699.6,9.2,19.4,19,1.3,0.0,1,245.84660216935555
6,5,7,1,90.1,39.7,86.6,6.2,15.2,27,3.1,0.0,1,100.8081031801344
8,6,1,3,90.2,99.6,631.2,6.3,16.2,59,3.1,0.0,1,91.54091010297302
3,4,11,0,93.3,141.2,713.9,13.9,18.6,49,3.6,0.0,1,217.40608079573653
4,3,7,1,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,1,57.11507347390683
2,2,5,0,88.3,150.3,309.9,6.8,13.4,79,3.6,0.0,1,172.16577441186917
7,4,11,6,90.1,82.9,735.7,6.2,15.4,57,4.5,0.0,1,63.0924056419725
4,4,11,3,93.5,149.3,728.6,8.1,22.9,39,4.9,0.0,1,209.82878453405567
7,5,10,1,91.7,48.5,696.1,11.1,16.1,44,4.0,0.0,1,238.79357239604482
8,6,1,2,92.2,81.8,480.8,11.9,20.1,34,4.5,0.0,1,96.40847323456255
4,6,11,3,93.5,149.3,728.6,8.1,28.3,26,3.1,0.0,1,195.33898975221362
8,6,1,2,92.2,81.8,480.8,11.9,16.4,43,4.0,0.0,1,168.06726999452067
4,4,11,6,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,1,100.85572714211668
1,5,11,3,93.5,149.3,728.6,8.1,27.8,27,3.1,0.0,1,181.92377851094543
6,4,11,5,91.0,129.5,692.6,7.0,18.7,43,2.7,0.0,1,158.90605366574772
9,4,11,5,84.4,73.4,671.9,3.2,24.3,36,3.1,0.0,1,184.4137884375958
4,5,11,2,92.5,121.1,674.4,8.6,17.7,25,3.1,0.0,1,88.71355982057237
8,6,1,3,91.4,142.4,601.4,10.6,19.6,41,5.8,0.0,1,120.61617396317183
2,2,11,2,92.5,121.1,674.4,8.6,18.2,46,1.8,0.0,1,26.86771438820323
1,2,11,5,91.0,129.5,692.6,7.0,18.8,40,2.2,0.0,1,68.00159450865827
6,5,11,2,92.5,121.1,674.4,8.6,25.1,27,4.0,0.0,1,111.80879654122236
7,5,0,3,81.9,3.0,7.9,3.5,13.4,75,1.8,0.0,0,0.0
6,3,0,6,88.0,17.2,43.5,3.8,15.2,51,2.7,0.0,0,0.0
4,4,0,0,83.0,23.3,85.3,2.3,16.7,20,3.1,0.0,0,0.0
2,4,1,3,94.2,122.3,589.9,12.9,15.4,66,4.0,0.0,1,219.38117198885544
7,4,1,3,91.8,175.1,700.7,13.8,21.9,73,7.6,1.0,0,0.0
2,4,1,3,91.8,175.1,700.7,13.8,22.4,54,7.6,0.0,1,191.03064341767052
3,4,1,3,91.8,175.1,700.7,13.8,26.8,38,6.3,0.0,1,127.74906486311338
5,4,1,3,91.8,175.1,700.7,13.8,25.7,39,5.4,0.0,1,5.109676837840112
2,4,1,6,92.2,91.6,503.6,9.6,20.7,70,2.2,0.0,1,216.20415126057102
8,6,1,6,93.1,157.3,666.7,13.5,28.7,28,2.7,0.0,0,0.0
3,4,1,6,93.1,157.3,666.7,13.5,21.7,40,0.4,0.0,1,103.78263559194694
8,5,1,6,93.1,157.3,666.7,13.5,26.8,25,3.1,0.0,1,44.58451559659247
8,5,1,6,93.1,157.3,666.7,13.5,24.0,36,3.1,0.0,1,204.7081329692711
6,5,1,6,93.1,157.3,666.7,13.5,22.1,37,3.6,0.0,1,164.36647148129217
7,4,1,4,91.9,109.2,565.5,8.0,21.4,38,2.7,0.0,1,115.0114383324307
6,3,1,4,91.6,138.1,621.7,6.3,18.9,41,3.1,0.0,1,202.50292360850602
2,5,1,4,87.5,77.0,694.8,5.0,22.3,46,4.0,0.0,0,0.0
8,6,1,2,94.2,117.2,581.1,11.0,23.9,41,2.2,0.0,1,140.4154646272825
4,3,1,2,94.2,117.2,581.1,11.0,21.4,44,2.7,0.0,1,238.09968058814957
3,4,1,2,91.8,170.9,692.3,13.7,20.6,59,0.9,0.0,0,0.0
7,4,1,2,91.8,170.9,692.3,13.7,23.7,40,1.8,0.0,1,64.97635348571332
2,4,1,1,93.6,97.9,542.0,14.4,28.3,32,4.0,0.0,1,88.98921715124233
3,4,1,0,91.6,112.4,573.0,8.9,11.2,84,7.6,0.0,1,198.89473443549608
2,4,1,0,91.6,112.4,573.0,8.9,21.4,42,3.1,0.0,1,128.661615905745
6,3,1,0,91.1,141.1,629.1,7.1,19.3,39,3.6,0.0,1,170.7355438831513
4,4,1,0,94.3,167.6,684.4,13.0,21.8,53,3.1,0.0,1,134.72562600099255
4,4,1,5,93.7,102.2,550.3,14.6,22.1,54,7.6,0.0,1,37.53586174547452
6,5,1,5,94.3,131.7,607.1,22.7,19.4,55,4.0,0.0,1,104.47669087009108
2,2,1,5,92.1,152.6,658.2,14.3,23.7,24,3.1,0.0,0,0.0
3,4,1,5,92.1,152.6,658.2,14.3,21.0,32,3.1,0.0,0,0.0
4,4,1,5,92.1,152.6,658.2,14.3,19.1,53,2.7,0.0,1,135.97489748928433
2,2,1,5,92.1,152.6,658.2,14.3,21.8,56,3.1,0.0,1,64.4913459059305
8,6,1,5,92.1,152.6,658.2,14.3,20.1,58,4.5,0.0,1,59.81655940674625
2,5,1,5,92.1,152.6,658.2,14.3,20.2,47,4.0,0.0,1,4.312230276128999
4,6,2,3,84.4,27.2,353.5,6.8,4.8,57,8.5,0.0,1,150.35240874997052
8,6,2,6,84.0,27.8,354.6,5.3,5.1,61,8.0,0.0,1,163.87022242175047
4,6,2,4,84.6,26.4,352.0,2.0,5.1,61,4.9,0.0,1,218.34884992870383
4,4,2,1,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,1,171.14889951610186
3,4,2,1,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,1,221.3034422307214
4,4,2,1,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,1,170.5353638949168
4,4,2,1,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,1,22.642316447994745
4,6,2,0,84.7,26.7,352.6,4.1,2.2,59,4.9,0.0,1,111.27488177985963
6,5,2,5,85.4,25.4,349.7,2.6,5.1,24,8.5,0.0,1,215.242091810078
6,3,3,3,84.9,27.5,353.5,3.4,4.2,51,4.0,0.0,0,0.0
3,4,3,6,86.9,6.6,18.7,3.2,8.8,35,3.1,0.0,1,243.16842642058938
5,4,3,0,85.2,4.9,15.8,6.3,7.5,46,8.0,0.0,1,245.91092143278757
2,5,5,3,93.9,169.7,411.8,12.3,23.4,40,6.3,0.0,0,0.0
7,6,5,6,91.2,183.1,437.7,12.5,12.6,90,7.6,0.2,0,0.0
7,4,5,2,91.6,104.2,474.9,9.0,22.1,49,2.7,0.0,0,0.0
7,4,5,2,91.6,104.2,474.9,9.0,24.2,32,1.8,0.0,0,0.0
7,4,5,2,91.6,104.2,474.9,9.0,24.3,30,1.8,0.0,0,0.0
2,5,5,2,91.6,104.2,474.9,9.0,18.7,53,1.8,0.0,0,0.0
9,4,5,2,91.6,104.2,474.9,9.0,25.3,39,0.9,0.0,1,193.38434715036325
4,5,5,0,91.6,100.2,466.3,6.3,22.9,40,1.3,0.0,1,185.33739042070675
7,6,5,5,93.1,180.4,430.8,11.0,26.9,28,5.4,0.0,1,34.201168394409095
8,6,5,5,92.3,88.8,440.9,8.5,17.1,67,3.6,0.0,1,63.53982208285582
7,5,6,3,93.1,180.4,430.8,11.0,22.2,48,1.3,0.0,0,0.0
6,4,6,3,90.4,89.5,290.8,6.4,14.3,46,1.8,0.0,1,115.78624270857763
8,6,6,3,90.4,89.5,290.8,6.4,15.4,45,2.2,0.0,0,0.0
8,6,6,6,91.2,147.8,377.2,12.7,19.6,43,4.9,0.0,0,0.0
6,5,6,2,53.4,71.0,233.8,0.4,10.6,90,2.7,0.0,0,0.0
6,5,6,1,90.4,93.3,298.1,7.5,20.7,25,4.9,0.0,0,0.0
6,5,6,1,90.4,93.3,298.1,7.5,19.1,39,5.4,0.0,1,233.8272965218233
3,6,6,0,91.1,94.1,232.1,7.1,19.2,38,4.5,0.0,0,0.0
